wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,Jahia_zip,comment
https://migration-wp.epfl.ch/r4l,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,lsro,r4l,lsro
https://migration-wp.epfl.ch/radtke-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,uprad,radtkelab,uprad
https://migration-wp.epfl.ch/ramdya-lab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,upramdya,upramdya,upramdya
https://migration-wp.epfl.ch/rao,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,rao,rao,rao
https://migration-wp.epfl.ch/rdsg,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,ph-ic,rdsg,ph-ic
https://migration-wp.epfl.ch/react,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sci-sti-dg,react,sci-sti-dg
https://migration-wp.epfl.ch/recherche,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dar,recherche,dar
https://migration-wp.epfl.ch/repro,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dii-i,repro,dii-i
https://migration-wp.epfl.ch/researchdata,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sisb,researchdata,sisb
https://migration-wp.epfl.ch/research-ideas,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,imt-ge,research-ideas,imt-ge
https://migration-wp.epfl.ch/research-office,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dar,research-office,dar
https://migration-wp.epfl.ch/resslab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,resslab,resslab,resslab
https://migration-wp.epfl.ch/restauration,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,resco,restauration,resco
https://migration-wp.epfl.ch/rfic,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sci-sti-cd,rfic,sci-sti-cd
https://migration-wp.epfl.ch/rh,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sf,sp,sf
https://migration-wp.epfl.ch/sccer-furies,#parser,#parser,wordpress,int,GeneralPublic,epfl-blank,#parser,yes,yes,yes,#parser,sccer-furies,sccerfuries,sccer-furies
https://migration-wp.epfl.ch/risk-protraining,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,scc,risk-protraining,scc
https://migration-wp.epfl.ch/robopoly,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,robopoly,robopoly,robopoly
https://migration-wp.epfl.ch/robot-competition,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,biorob,robot-competition,biorob
https://migration-wp.epfl.ch/rolexlearningcenter,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,resco,rolexlearningcenter,resco
https://migration-wp.epfl.ch/rrl,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,rrl,rrl,rrl
https://migration-wp.epfl.ch/sac,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sac,sac,sac
https://migration-wp.epfl.ch/sae,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sae,sae,sae
https://migration-wp.epfl.ch/salathelab,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,upsalathe1,salathelab,upsalathe3
https://migration-wp.epfl.ch/save,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,dii-i,save,dii-i
https://migration-wp.epfl.ch/sb,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sb-it,sb_en,sb-it
https://migration-wp.epfl.ch/sber,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,sber,sber,sber
https://migration-wp.epfl.ch/scc,#parser,#parser,wordpress,int,GeneralPublic,epfl-master,#parser,yes,yes,yes,#parser,scc,scc2,scc
